gene_a,gene_a.identifier,gene_b,gene_b.identifier,SL.cellline,pubmed_id,source,sl_score,sl,combined_score,reactome,corum,go_F,go_C,go_P,kegg,all,gene_a_encoder,gene_b_encoder
PYCR3,65263,TP53,7157,,26427375,computer analysis,0.3,1,198.0,0,0,1,1,0,0,3,6730,8792
PYCR3,65263,RECQL4,9401,,25171417,Daisy,0.2,1,0.0,0,0,1,0,0,0,2,6730,6956
PYCR3,65263,SCRIB,23513,,25171417,Daisy,0.2,1,0.0,0,0,1,0,0,0,2,6730,7412
BRCA1,65263,PYCR3,672,,26427375,computer analysis,0.3,1,0.0,0,0,1,0,0,0,2,839,6730
KCND3,3752,OMD,4958,,25171417,computer analysis,0.3,1,0.0,0,0,0,0,0,0,0,4064,5652
EMX1,3752,KCND3,2016,,25171417,computer analysis,0.3,1,0.0,0,0,1,0,0,0,2,2510,4064
KCND3,3752,MEOX2,4223,,25171417,computer analysis,0.3,1,0.0,0,0,1,0,0,0,2,4064,4787
KCND3,3752,PPP1R3A,5506,,25171417,computer analysis,0.3,1,0.0,0,0,0,1,0,0,2,4064,6439
TG,7038,TP53,7157,,26427375,computer analysis,0.3,1,429.0,0,0,2,0,0,0,2,8481,8792
ATM,7038,TG,472,,26427375,computer analysis,0.3,1,0.0,0,0,2,0,1,0,3,610,8481
DEPP1,11067,UNCX,340260,,29959327,ISLE,0.3,1,0.0,0,0,0,0,0,0,0,2082,9177
CD96,10225,HRAS,3265,,19490893,GenomeRNAi,0.45799999999999996,1,0.0,2,0,0,2,0,0,3,1260,3671
CD96,10225,NRAS,4893,,19490893,GenomeRNAi,0.45799999999999996,1,0.0,2,0,0,1,0,0,3,1260,5515
CD96,10225,KRAS,3845,,19490893,Text Mining,0.6,1,0.0,1,0,0,2,0,0,3,1260,4255
EPB42,2038,PTGS1,5742,,20609354,GenomeRNAi,0.506,1,0.0,0,0,1,0,0,0,2,2544,6666
EPB42,2038,ORM1,5004,,20609354,GenomeRNAi,0.506,1,0.0,0,0,1,0,0,0,2,2544,5724
EPB42,2038,SLC22A2,6582,,20609354,GenomeRNAi,0.506,1,0.0,0,0,0,1,0,0,2,2544,7679
EPB42,2038,SLC22A1,6580,,20609354,GenomeRNAi,0.506,1,0.0,0,0,1,1,0,0,3,2544,7675
EPB42,2038,RET,5979,,20609354,GenomeRNAi,0.506,1,0.0,0,0,2,1,0,0,3,2544,6973
EPB42,2038,KIT,3815,,20609354,GenomeRNAi,0.506,1,0.0,0,0,2,1,1,0,4,2544,4186
EPB42,2038,PDGFRB,5159,,20609354,GenomeRNAi,0.506,1,0.0,0,0,2,1,0,0,3,2544,5969
EPB42,2038,NAE1,8883,,23100467,GenomeRNAi,0.575,1,0.0,0,0,1,1,0,0,3,2544,5202
EPB42,2038,PDGFRA,5156,,20609354,GenomeRNAi,0.506,1,0.0,0,0,2,1,0,0,3,2544,5968
EPB42,2038,NTRK1,4914,,20609354,GenomeRNAi,0.506,1,0.0,0,0,2,1,0,0,3,2544,5560
DCTN1,23293,SMG6,1639,,25171417,computer analysis,0.3,1,0.0,0,0,1,3,0,0,3,2004,7877
ADGRG1,9289,HRAS,3265,,19490893,GenomeRNAi,0.512,1,222.0,0,0,1,0,2,0,3,165,3671
ADGRG1,9289,KRAS,3845,,19490893,Text Mining,0.6,1,0.0,0,0,1,1,0,0,3,165,4255
ADGRG1,9289,NRAS,4893,,19490893,GenomeRNAi,0.512,1,0.0,0,0,1,1,0,0,3,165,5515
C17orf67,339210,LPP,4026,,29959327,ISLE,0.3,1,0.0,0,0,1,0,0,0,2,910,4464
TAP2,6891,TUBB1,81027,,17000754,GenomeRNAi,0.5,1,0.0,2,0,0,0,0,1,3,8342,9018
TAP2,6891,ZBTB47,92999,,29959327,ISLE,0.3,1,0.0,0,0,1,0,0,0,2,8342,9511
RNF6,6049,SDHD,6392,,25171417,computer analysis,0.3,1,0.0,0,0,2,0,0,0,2,7120,7430
CREBZF,58487,POU2F1,5451,,25171417,computer analysis,0.3,1,641.0,0,0,3,3,2,1,5,1751,6377
CREBZF,58487,PUM2,23369,,25171417,computer analysis,0.3,1,0.0,0,0,1,0,0,0,2,1751,6714
CREBZF,58487,IQCB1,9657,,25171417,computer analysis,0.3,1,0.0,0,0,1,1,0,0,3,1751,3931
